tweet,polarity,sentiment
AwwwthatsabummerYoushouldagotDavidCarrofThirdDaytodoitD,0.0,Neutral
isupsetthathecantupdatehisFacebookbytextingitandmightcryasaresultSchooltodayalsoBlah,0.0,Neutral
IdivedmanytimesfortheballManagedtosave50Therestgooutofbounds,0.0,Neutral
mywholebodyfeelsitchyandlikeitsonfire,0.0,Neutral
noitsnotbehavingatallimmadwhyamiherebecauseIcantseeyoualloverthere,0.0,Neutral
notthewholecrew,0.0,Neutral
heylongtimenoseeYesRainsabitonlyabitLOLImfinethankshowsyou,0.0,Neutral
Knopetheydidnthaveit,0.0,Neutral
springbreakinplaincityitssnowing,0.0,Neutral
Ijustrepiercedmyears,0.0,Neutral
IcouldntbeartowatchitAndIthoughttheUAlosswasembarrassing,0.0,Neutral
ItitcountsidkwhyIdideitheryounevertalktomeanymore,0.0,Neutral
iwouldvebeenthefirstbutididnthaveagunnotreallythoughzacsnydersjustadoucheclown,0.0,Neutral
IwishIgottowatchitwithyouImissyouandhowwasthepremiere,0.0,Neutral
Hollisdeathscenewillhurtmeseverelytowatchonfilmwryisdirectorscutnotoutnow,0.0,Neutral
abouttofiletaxes,0.0,Neutral
ahhivealwayswantedtoseerentlovethesoundtrack,0.0,Neutral
OhdearWereyoudrinkingoutoftheforgottentabledrinks,0.0,Neutral
iwasoutmostofthedaysodidntgetmuchdone,0.0,Neutral
oneofmyfriendcalledmeandaskedtomeetwithheratMidValleytodaybutivenotimesigh,0.0,Neutral
baristaIbakedyouacakebutIatedit,0.0,Neutral
thisweekisnotgoingasihadhoped,0.0,Neutral
blaghclassat8tomorrow,0.0,Neutral
IhatewhenIhavetocallandwakepeopleup,0.0,Neutral
JustgoingtocrymyselftosleepafterwatchingMarleyandMe,0.0,Neutral
imsadnowMissLilly,0.0,Neutral
oooohLOLthatleslieandokIwontdoitagainsolesliewontgetmadagain,0.0,Neutral
MehAlmostLoveristheexceptionthistrackgetsmedepressedeverytime,0.0,Neutral
some1hackedmyaccountonaimnowihavetomakeanewone,0.0,Neutral
IwanttogotopromoteGEARANDGROOVEbutunfornatelynoridethereImaybgoingtotheoneinAnaheiminMaythough,0.0,Neutral
thoughtsleepinginwasanoptiontomorrowbutrealizingthatitnowisnotevaluationsinthemorningandworkintheafternoon,0.0,Neutral
aweiloveyoutoo1amhereimissyou,0.0,Neutral
Icrymyasianeyestosleepatnight,0.0,Neutral
okImsickandspentanhoursittingintheshowercauseIwastoosicktostandandheldbackthepukelikeachampBEDnow,0.0,Neutral
illtellyathestorylaternotagooddayandillbeworkinforlikethreemorehours,0.0,Neutral
sorrybedtimecamehereGMT1,0.0,Neutral
IdonteitherItsdepressingIdontthinkIevenwanttoknowaboutthekidsinsuitcases,0.0,Neutral
BedClass812Work123Gym35or6Thenclass610AnotherdaythatsgonnaflybyImissmygirlfriend,0.0,Neutral
reallydontfeellikegettinguptodaybutgottostudytofortomorrowspracticalexam,0.0,Neutral
Hesthereasonfortheteardropsonmyguitartheonlyonewhohasenoughofmetobreakmyheart,0.0,Neutral
SadsadsadIdontknowwhybutIhatethisfeelingIwannasleepandIstillcant,0.0,Neutral
AwwwIsoowishIwastheretoseeyoufinallycomfortableImsadthatImissedit,0.0,Neutral
FallingasleepJustheardaboutthatTracygirlsbodybeingfoundHowsadMyheartbreaksforthatfamily,0.0,Neutral
YayImhappyforyouwithyourjobButthatalsomeanslesstimeformeandyou,0.0,Neutral
JustcheckedmyusertimelineonmyblackberryitlookslikethetwankingisstillhappeningArepplstillhavingprobswBGsandUIDs,0.0,Neutral
OhmanwasironingsfavetoptoweartoameetingBurntit,0.0,Neutral
isstrangelysadaboutLiLoandSamRobreakingup,0.0,Neutral
ohimsosorryididntthinkaboutthatbeforeretweeting,0.0,Neutral
BroadbandplanamassivebrokenpromiseviawwwdiigocomtautaoStillwaitingforbroadbandweare,0.0,Neutral
WowtonsofrepliesfromyoumayhavetounfollowsoIcanseemyfriendstweetsyourescrollingthefeedalot,0.0,Neutral
ourduckandchickenaretakingwayyytoolongtohatch,0.0,Neutral
PutvacationphotosonlineafewyrsagoPCcrashedandnowIforgetthenameofthesite,0.0,Neutral
NotsurewhattheyareonlythattheyarePoSAsmuchasIwanttoIdontthinkcantradeawaycompanyassetssorryandy,0.0,Neutral
Ihatewhenthathappens,0.0,Neutral
IhaveasadfeelingthatDallasisnotgoingtoshowupIgottasaythoughyoudthinkmoreshowswouldusemusicfromthegamemmm,0.0,Neutral
Ugh92degreestomorrow,0.0,Neutral
WheredidumovetoIthoughtuwerealreadyinsdHmmmRandomufoundmeGladtohearyerdoingwell,0.0,Neutral
Imissmyps3itsoutofcommissionWutchaplayingHaveyoucoppedBloodOnTheSand,0.0,Neutral
justleavingtheparkinglotofwork,0.0,Neutral
TheLifeiscoolButnotforMe,0.0,Neutral
SadlythoughIvenevergottentoexperiencethepostcoituscigarettebeforeandnowIneverwill,0.0,Neutral
IhadsuchanicedayToobadtheraincomesintomorrowat5am,0.0,Neutral
toobadIwontbearoundIlostmyjobandcantevenpaymyphonebilllmaoawshucks,0.0,Neutral
Dammbacktoschooltomorrow,0.0,Neutral
Mojobsnomoneyhowinthehellisminwagehere4fnclamsanhour,0.0,Neutral
NotforeverSeeyousoon,0.0,Neutral
AlgonquinagreedIsawthefailwhalealllllldaytoday,0.0,Neutral
OhHahadudeIdontreallylookatemunlesssomeonesaysHEYIADDEDYOUSorryImsoterribleatthatIneedapopup,0.0,Neutral
ImsureyourerightIneedtostartworkingoutwithyouandtheNiksterOrJaredatleast,0.0,Neutral
ireallyhatehowpeopledissmybandsTraceisclearlyNOTugly,0.0,Neutral
GymattiretodaywasPumasingletAdidasshortsandblackbusinesssocksandleathershoesLuckydidnotrunintoanycutegirls,0.0,Neutral
Whywontyoushowmylocation,0.0,Neutral
Nopicnicmyphonesmellslikecitrus,0.0,Neutral
